DatasetName,ProjectID,RequirementText,Label
SeqReq,CPN," Internally to the CPN, a CNG transmitting private or other critical information (i.e. to a CND) shall protect the data from unauthorised disclosure.",Security
SeqReq,CPN," Internally to the CPN, a CNG receiving private or other critical information (i.e. from a CND) should verify that the data was protected from unauthorised disclosure. ",Security
SeqReq,CPN,The CNG shall detect the end of the life of the key used for cryptographic protection of the wireless communication between the CND and the CNG.,Security
SeqReq,CPN, A CPN-user attempting to invoke a CNG-mediated service shall be identified and authenticated by the CNG before being granted access to the service.,Security
SeqReq,CPN,The CNG shall implement an authentication failure handling policy.,Security
SeqReq,CPN,"The CNG shall take action according to local authentication failure handling policy (which may include silently discarding the authentication and explicit failure notification, or in the case of a replay of credentials may include notification of the true owner of the credentials) upon detection of failure during identification, authentication and authorization.",Security
SeqReq,CPN,The CNG should detect replayed user and/or device credentials.,Security
SeqReq,CPN,"When the CNG detects replayed user and/or device credentials, the CNG shall stop the relevant processes.",Security
SeqReq,CPN,The CNG shall implement a privacy protection policy specifying as a minimum private and critical information.,Security
SeqReq,CPN," When the CNG detects violation of the privacy protection policy the CNG shall discard all signalling, including signalling from the NGN.",Security
SeqReq,CPN,The CNG shall implement an authorization management handling policy.,Security
SeqReq,CPN,On reception at the CNG of a message to access configuration information for update and detection of authorization failure the CNG shall reject the request and manage the failure in accordance with the CPN authorization management handling policy.,Security
SeqReq,CPN,"Where a CND invokes a session at the CNG the CNG shall record the association of session-id, invoking device identity and invoking user-id.",Security
SeqReq,CPN,On transmission of management information from the CNG to a CND the CNG shall append a timestamp or sequence number to the outgoing message.,Security
SeqReq,CPN, On reception at the CNG of a message containing management information the CNG shall extract the timestamp or sequence number and verify that the message has not been replayed.,Security
SeqReq,CPN, On reception at the CNG of a message to access or update configuration information the CNG shall allow access only if the sender is an administrator.,Security
SeqReq,CPN, On detection of a message integrity error at the CNG the CNG shall discard the message.,Security
SeqReq,CPN,On indication received at the CNG of a resource allocation expiry the CNG shall delete all residual data associated with the invocation of the resource.,Security
SeqReq,CPN, On receipt of a valid (i.e. authorized) request for data stored in the CNG the CNG shall return the requested data to the requesting user.,Security
SeqReq,CPN,On receipt of a valid (i.e. authorized) request for access to a CNG hosted service or application the CNG shall provide the requested service or application to the requesting user.,Security
SeqReq,CPN,On detection of any system failure or discontinuity not specifically handled by other mechanisms the CNG shall revert to a known safe state.,Security
SeqReq,CPN,The CNG shall support mechanisms to authenticate itself to the NGN for connectivity purposes.,Security
SeqReq,CPN,The CNG shall support mechanisms to authenticate itself to the NGN for service usage purposes.,Security
SeqReq,CPN,The CNG shall support mechanisms to authenticate CNDs to the NGN for service usage purposes if they are not able to fully support the related procedures in an autonomous way.,Security
SeqReq,CPN,The CNG shall support mechanisms for authentication of wireless CNDs for local connectivity. Similar mechanisms may be also implemented for non-wireless devices.,Security
SeqReq,CPN,The CNG and CPN shall support mechanisms that prevent access to the network by unauthorized users.,Security
SeqReq,CPN,"The capacity of the authorized entities should depend on the security policies defined by the service providers, managing the CNG.",Security
SeqReq,CPN,The CNG and the CPN shall implement mechanisms to limit the visibility of the WAN side network and resources to authorized entities.,Security
SeqReq,CPN,The diagnostic operations on the CPN by an operator shall be performed in accordance with rules protecting the users' privacy.,Security
SeqReq,CPN,"CPN environment shall be protected with a stateful firewall function, that may be implemented in the CNG.",Security
SeqReq,CPN,The CNG and the CPN shall be able to support parental control related functionalities limiting the use of the broadband connection on a user or time basis. Limitations on a content basis may be shared with devoted network servers.,Security
SeqReq,CPN,"The CNG shall be equipped with a WAN interface towards the NGN, implementing layer 1 and 2 functionalities (""one-box"" solution).",Non-Security
SeqReq,CPN,"LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present, e.g.: wireless LAN Wi-Fi Alliance certified, Powerlines, Plastic Optical Fiber, USB device and/or host, one or more FXS for analog telephony, DECT Cat-iq.",Non-Security
SeqReq,CPN,The CNG shall support both routed and bridged modes of operation.,Non-Security
SeqReq,CPN,The CNG shall support direct intra-LAN connectivity between any appropriate pair of devices on the Customer Premises Network.,Non-Security
SeqReq,CPN,"The CNG shall support different IP address schemes and subnets on the same physical LAN port, and on different LAN ports, irrespective of routed or bridged mode of operation, allowing the direct addressability of CNDs from the NGN side in relation to data plane, control plane and management plane flows.",Non-Security
SeqReq,CPN,"The CNG and devices shall support mechanisms to identify and share information about the customer network devices (e.g. type of device and basic capabilities, services supported etc.) within the customer environment. Some of this information can be used locally, while a subset of it can be forwarded to the NGN.",Non-Security
SeqReq,CPN,The CNG shall support use of one user identity on several terminals as well as to share one terminal with several identities.,Non-Security
SeqReq,CPN,"The CNG and the Customer Network shall support the NGN services usage (e.g. voice communications, video communications, IPTV, entertainment, …) allowing the connection to the right service control platforms.",Non-Security
SeqReq,CPN,"The CNG should support redirection of IP Multimedia sessions, as defined by TS 181 005 [1], independently from the type of device used (NGN terminal or other CND).",Non-Security
SeqReq,CPN,"The CNG and the Customer Network shall assure the confidentiality, the integrity of signalling/control/media and management flows.",Non-Security
SeqReq,CPN,"The CNG and the Customer Network shall provide the opportunity for a customer network administrator to perform service and network-related configuration. According to the service/network provider choices, the CNG and Customer Network may prevent - user initiated modification of network and service related parameters.",Non-Security
SeqReq,CPN,"The CNG should negotiate session parameters (bandwidth, screen resolution, codecs…) with the NGN transparently to the user.",Non-Security
SeqReq,CPN,"The CPN shall support remote access, based on NGN network functions.",Non-Security
SeqReq,CPN,"The CNG shall allow the customer remote access to a CND in the Customer Network, for example a surveillance video camera.",Non-Security
SeqReq,CPN,"Standard NGN authentication, routing and connectivity should be used to establish remote access connectivity.",Non-Security
SeqReq,CPN,The CNG may use multiple tunnel connections for providing e.g. adequate QoS for the remote access user.,Non-Security
SeqReq,CPN,The CNG may allow secure dynamic firewall opening for remote access devices based on NGN authentication functions.,Non-Security
SeqReq,CPN,The CNG may provide Home to Home (H2H) communication service  connecting CNDs in  different CPNs.,Non-Security
SeqReq,CPN,"If Home to Home (H2H) communication service is provided, then each CNG must limit access to local CNDs and/or media classes based on the access rights of the remote H2H user identity.",Non-Security
SeqReq,CPN,"If Home to Home (H2H) communication service is provided, then each CNG must ensure that emergency service sessions originating in its CPN are associated with the appropriate location information and/or calling identity.",Non-Security
SeqReq,CPN,"The CPN may support encrypted communication with remote access devices, and the encrypted communication can be terminated either at the CNG or CND.",Non-Security
SeqReq,CPN,The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,Non-Security
SeqReq,CPN,The CNG may support mechanisms supporting nomadism of the users and their subscribed services from one physical customer environment to another.,Non-Security
SeqReq,CPN,"The CNG should be able to assist in establishing Rich Communication Suite sessions between CNDs, including joining/splitting voice & media streams.",Non-Security
SeqReq,CPN,It should be possible for more than one identity to be associated with a single CPN subscription.,Non-Security
SeqReq,CPN,It should be possible for a service profile to be associated with each identity within a CPN subscription.,Non-Security
SeqReq,CPN,It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,Non-Security
SeqReq,CPN,Multiple public identities on the same terminal shall be supported.,Non-Security
SeqReq,CPN,The CNG shall support a mechanism allowing the support of call forking towards customer non-IMS capable devices.,Non-Security
SeqReq,CPN,The CNG shall able to store information related to private identities of non-IMS capable CNDs.,Non-Security
SeqReq,CPN,The CNG shall support a mechanism allowing the support of call forwarding toward non-IMS capable CNDs.,Non-Security
SeqReq,CPN,The CNG shall support intra-CPN communication between IMS and non-IMS capable CNDs.,Non-Security
SeqReq,CPN,The customer environment (CNG and/or CNDs) should support a mechanism to allow service roaming,Non-Security
SeqReq,CPN,The NGN network should be provided with a CND location information.,Non-Security
SeqReq,CPN,Codec requirements and capabilities for the User Equipment (including the CNG) are already defined in TS 181 005 [1] which describes service requirements and capabilities for the TISPAN NGN.,Non-Security
